Product,Type,Date,Process_Size,TDP,Die_Size,Transistors,Frequency,Foundry,Vendor,FP16,FP32,FP64
Intel Core Duo T2600,CPU,1/5/2006,65.0,31.0,90.0,151.0,2166,Intel,Intel,,,
Intel Pentium G4500,CPU,9/1/2015,14.0,51.0,150.0,1400.0,3500,Intel,Intel,,,
AMD A8-5600K,CPU,10/2/2012,32.0,100.0,246.0,1178.0,3600,Unknown,AMD,,,
AMD Athlon XP 2600+,CPU,10/1/2002,130.0,68.0,80.0,37.0,2133,Unknown,AMD,,,
AMD Athlon 64 3000+,CPU,12/15/2003,130.0,89.0,193.0,69.0,2000,Unknown,AMD,,,
Intel Pentium D 945,CPU,7/23/2006,65.0,95.0,140.0,376.0,3400,Intel,Intel,,,
Intel Celeron B800,CPU,6/19/2011,32.0,35.0,131.0,504.0,1500,Intel,Intel,,,
Intel Atom E665C,CPU,11/22/2010,45.0,4.0,26.0,47.0,1300,Intel,Intel,,,
AMD E1-2150,CPU,2/1/2014,32.0,9.0,246.0,1178.0,1050,Unknown,AMD,,,
Intel Core i5-10210U,CPU,8/21/2019,14.0,25.0,188.4404445518241,1929.9222785421193,1600,Intel,Intel,,,
AMD Athlon Gold 3150G,CPU,7/21/2020,12.0,65.0,188.4404445518241,1929.9222785421193,3500,GF,AMD,,,
Intel Celeron 2.70,CPU,9/24/2003,130.0,73.0,146.0,55.0,2700,Intel,Intel,,,
Intel Xeon Gold 5318N,CPU,4/6/2021,10.0,150.0,188.4404445518241,1929.9222785421193,2100,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,2/20/2007,90.0,62.0,230.0,227.0,2200,Unknown,AMD,,,
AMD Sempron 3400+ EE SFF,CPU,5/23/2006,90.0,35.0,103.0,81.0,1800,Unknown,AMD,,,
Intel Core i7-3525M,CPU,11/1/2012,22.0,35.0,160.0,1480.0,2900,Intel,Intel,,,
AMD A6-3410MX,CPU,6/14/2011,32.0,45.0,228.0,1178.0,1600,Unknown,AMD,,,
Intel Core i5-450M,CPU,9/26/2010,32.0,35.0,81.0,382.0,2400,Intel,Intel,,,
AMD Opteron A1150,CPU,1/14/2016,28.0,32.0,188.4404445518241,1929.9222785421193,1700,Unknown,AMD,,,
Intel Pentium G3430,CPU,9/1/2013,22.0,54.0,177.0,1400.0,3300,Intel,Intel,,,
Intel Core i7-10610U,CPU,4/2/2020,14.0,25.0,188.4404445518241,1929.9222785421193,1800,Intel,Intel,,,
Intel Core i5-4210U,CPU,4/14/2014,22.0,15.0,118.0,1400.0,1700,Intel,Intel,,,
Intel Core 2 Duo E6420,CPU,4/1/2007,65.0,65.0,111.0,167.0,2133,Intel,Intel,,,
AMD Athlon XP 1900+,CPU,11/5/2001,180.0,68.0,150.0,37.0,1600,Unknown,AMD,,,
Intel Pentium III 1400,CPU,12/1/2001,130.0,31.0,80.0,44.0,1400,Intel,Intel,,,
AMD Athlon 64 3000+,CPU,4/14/2005,130.0,62.0,188.4404445518241,105.0,1800,Unknown,AMD,,,
Intel Xeon E3-1290 v2,CPU,5/14/2012,22.0,87.0,160.0,1400.0,3700,Intel,Intel,,,
AMD Phenom X3 8550,CPU,4/23/2008,65.0,95.0,285.0,450.0,2200,Unknown,AMD,,,
Intel Core i5-8600K,CPU,10/5/2017,14.0,95.0,188.4404445518241,1929.9222785421193,3600,Intel,Intel,,,
Intel Xeon Platinum 8356H,CPU,4/6/2021,14.0,190.0,188.4404445518241,1929.9222785421193,3900,Intel,Intel,,,
AMD Athlon XP 2200+,CPU,6/10/2002,130.0,68.0,80.0,37.0,1800,Unknown,AMD,,,
AMD Athlon Silver PRO 3125GE,CPU,7/21/2020,12.0,35.0,188.4404445518241,1929.9222785421193,3400,GF,AMD,,,
Intel Mobile Pentium 4 HT 538,CPU,6/1/2004,90.0,88.0,112.0,125.0,3200,Intel,Intel,,,
Intel Core i7-8700,CPU,1/1/2018,14.0,65.0,154.0,1929.9222785421193,3200,Intel,Intel,,,
Intel Pentium Dual-Core E2220,CPU,3/2/2008,65.0,65.0,77.0,105.0,2400,Intel,Intel,,,
AMD Ryzen 5 4600U,CPU,1/6/2020,7.0,25.0,156.0,9800.0,2100,TSMC,AMD,,,
AMD Ryzen Threadripper 2970WX,CPU,10/2/2018,12.0,250.0,213.0,19200.0,3000,GF,AMD,,,
AMD Opteron X2 875 HE,CPU,2/1/2006,90.0,55.0,188.4404445518241,233.0,2200,Unknown,AMD,,,
Intel Atom Z605,CPU,5/4/2010,45.0,2.0,65.0,140.0,1000,Intel,Intel,,,
Intel Xeon Platinum 8351N,CPU,4/6/2021,10.0,225.0,188.4404445518241,1929.9222785421193,2400,Intel,Intel,,,
Intel Atom N475,CPU,6/1/2010,45.0,7.0,66.0,123.0,1834,Intel,Intel,,,
Intel Core i5-3350P,CPU,9/3/2012,22.0,69.0,133.0,1929.9222785421193,3100,Intel,Intel,,,
Intel Xeon E5-1660 v2,CPU,9/1/2013,22.0,130.0,160.0,1400.0,3700,Intel,Intel,,,
AMD Sempron 3300+,CPU,7/15/2005,90.0,62.0,188.4404445518241,69.0,2000,Unknown,AMD,,,
AMD Ryzen 5 PRO 2600,CPU,9/19/2018,12.0,65.0,192.0,4800.0,3400,GF,AMD,,,
AMD Phenom X4 9450e,CPU,10/1/2008,65.0,65.0,285.0,450.0,2100,Unknown,AMD,,,
AMD A4-3420,CPU,12/20/2011,32.0,65.0,228.0,1178.0,2800,Unknown,AMD,,,
Intel Pentium 4 1.80,CPU,8/27/2001,180.0,67.0,217.0,42.0,1800,Intel,Intel,,,
AMD Opteron 248,CPU,12/1/2004,90.0,85.0,188.4404445518241,106.0,2200,Unknown,AMD,,,
Intel Pentium 4 506,CPU,6/1/2005,90.0,84.0,109.0,125.0,2660,Intel,Intel,,,
Intel Core i7-3840QM,CPU,9/3/2012,22.0,45.0,160.0,1400.0,2800,Intel,Intel,,,
Intel Pentium 4 2.53,CPU,5/6/2002,130.0,110.0,146.0,55.0,2527,Intel,Intel,,,
Intel Mobile Pentium 4 2.40,CPU,6/11/2003,130.0,60.0,131.0,55.0,2400,Intel,Intel,,,
Intel Xeon Phi 7110P,CPU,11/12/2012,22.0,300.0,350.0,5000.0,1250,Intel,Intel,,,
Intel Core i3-7300,CPU,1/3/2017,14.0,51.0,188.4404445518241,1929.9222785421193,4000,Intel,Intel,,,
Intel Core i7-3520M,CPU,6/3/2012,22.0,35.0,118.0,1929.9222785421193,2900,Intel,Intel,,,
AMD Turion 64 MT-30,CPU,3/10/2005,90.0,22.0,125.0,114.0,1600,Unknown,AMD,,,
AMD Sempron LE-1300,CPU,10/8/2007,65.0,45.0,188.4404445518241,1929.9222785421193,2300,Unknown,AMD,,,
Intel Atom Z625,CPU,5/4/2010,45.0,2.0,65.0,140.0,1900,Intel,Intel,,,
Intel Core i5-4200U,CPU,6/4/2013,22.0,15.0,118.0,1400.0,1600,Intel,Intel,,,
Intel Pentium E5700,CPU,8/8/2010,45.0,65.0,82.0,228.0,3000,Intel,Intel,,,
Intel Core i3-3110M,CPU,6/1/2012,22.0,35.0,118.0,1929.9222785421193,2400,Intel,Intel,,,
Intel Pentium G3420T,CPU,9/1/2013,22.0,35.0,177.0,1400.0,2700,Intel,Intel,,,
AMD E1-1500,CPU,1/6/2013,40.0,18.0,75.0,1929.9222785421193,1480,Unknown,AMD,,,
AMD A10-9700E,CPU,7/27/2017,28.0,35.0,246.0,1178.0,3000,Unknown,AMD,,,
Intel Pentium 4-M 2.00,CPU,6/24/2002,130.0,32.0,131.0,55.0,2000,Intel,Intel,,,
Intel Xeon E5620,CPU,3/16/2010,32.0,80.0,239.0,1170.0,2400,Intel,Intel,,,
Intel Core i3-3120M,CPU,9/30/2012,22.0,35.0,118.0,1929.9222785421193,2500,Intel,Intel,,,
AMD Opteron 6274,CPU,11/14/2011,32.0,115.0,316.0,2400.0,2200,Unknown,AMD,,,
AMD Ryzen 7 1800X,CPU,3/2/2017,14.0,95.0,192.0,4800.0,3600,GF,AMD,,,
Intel Core i3-3120ME,CPU,8/1/2012,22.0,35.0,118.0,1929.9222785421193,2400,Intel,Intel,,,
AMD Ryzen 3 3200U,CPU,1/6/2019,12.0,15.0,210.0,4940.0,2600,GF,AMD,,,
Intel Xeon E-2124G,CPU,5/31/2018,14.0,72.0,126.0,1400.0,3400,Intel,Intel,,,
AMD Athlon 700,CPU,6/5/2000,180.0,40.0,120.0,37.0,700,Unknown,AMD,,,
AMD Athlon 64 2700+,CPU,4/27/2004,130.0,32.0,144.0,69.0,1600,Unknown,AMD,,,
AMD Ryzen 7 2700X,CPU,4/19/2018,12.0,105.0,192.0,4800.0,3700,GF,AMD,,,
AMD Ryzen Embedded V1807B,CPU,2/21/2018,14.0,45.0,210.0,4950.0,3350,GF,AMD,,,
AMD Athlon II X3 415e,CPU,5/11/2010,45.0,45.0,169.0,300.0,2500,Unknown,AMD,,,
Intel Core i5-2310,CPU,5/22/2011,32.0,95.0,216.0,1160.0,2900,Intel,Intel,,,
AMD FX-8320,CPU,10/23/2012,32.0,125.0,315.0,1200.0,3500,Unknown,AMD,,,
Intel Core i7-10700K,CPU,4/30/2020,14.0,125.0,188.4404445518241,1929.9222785421193,3800,Intel,Intel,,,
AMD Opteron 6386 SE,CPU,11/5/2012,32.0,140.0,315.0,2400.0,2800,Unknown,AMD,,,
AMD Opteron X2 875,CPU,9/26/2005,90.0,95.0,188.4404445518241,233.0,2200,Unknown,AMD,,,
Intel Celeron 877,CPU,7/1/2012,32.0,17.0,131.0,504.0,1400,Intel,Intel,,,
AMD Phenom II X6 1100T BE,CPU,12/7/2010,45.0,125.0,346.0,904.0,3300,Unknown,AMD,,,
Intel Core i3-5157U,CPU,3/1/2015,14.0,28.0,188.4404445518241,1929.9222785421193,2500,Intel,Intel,,,
Intel Core i3-4130,CPU,9/1/2013,22.0,54.0,177.0,1400.0,3400,Intel,Intel,,,
Intel Core i7-3910K,CPU,7/24/2013,32.0,130.0,435.0,2270.0,3000,Intel,Intel,,,
Intel Core i7-3632QM,CPU,10/19/2012,22.0,35.0,160.0,1480.0,2200,Intel,Intel,,,
Intel Core i7-8670T,CPU,9/1/2018,14.0,35.0,188.4404445518241,1929.9222785421193,2300,Intel,Intel,,,
AMD Opteron 144,CPU,8/2/2005,90.0,67.0,188.4404445518241,106.0,1800,Unknown,AMD,,,
Intel Core i7-5650U,CPU,3/1/2015,14.0,15.0,188.4404445518241,1929.9222785421193,2200,Intel,Intel,,,
Intel Pentium 4 HT 515,CPU,1/1/2001,90.0,84.0,109.0,125.0,2933,Intel,Intel,,,
AMD Opteron 242,CPU,5/18/2004,130.0,82.0,193.0,106.0,1600,Unknown,AMD,,,
Intel Core i5-7600,CPU,1/3/2017,14.0,65.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
Intel Xeon 2.8,CPU,10/10/2005,90.0,135.0,213.0,200.0,2800,Intel,Intel,,,
Intel Core 2 Duo E7600,CPU,5/10/2009,45.0,65.0,82.0,228.0,3067,Intel,Intel,,,
Intel Core i7-9700K,CPU,10/19/2018,14.0,95.0,188.4404445518241,1929.9222785421193,3600,Intel,Intel,,,
AMD Phenom II X4 910,CPU,2/9/2009,45.0,95.0,258.0,758.0,2600,Unknown,AMD,,,
AMD EPYC 73F3,CPU,3/15/2021,7.0,240.0,188.4404445518241,1929.9222785421193,3500,TSMC,AMD,,,
AMD Sempron 2500+,CPU,7/28/2004,130.0,62.0,80.0,37.0,1750,Unknown,AMD,,,
Intel Pentium G3450,CPU,5/1/2014,22.0,54.0,177.0,1400.0,3300,Intel,Intel,,,
AMD EPYC 7601,CPU,6/29/2017,14.0,180.0,213.0,4800.0,2200,GF,AMD,,,
Intel Xeon E7-8860 v3,CPU,6/1/2015,22.0,140.0,160.0,1400.0,2200,Intel,Intel,,,
Intel Xeon 5140,CPU,6/26/2006,65.0,65.0,188.4404445518241,1929.9222785421193,2333,Intel,Intel,,,
AMD Phenom X4 9850 BE,CPU,3/27/2008,65.0,125.0,285.0,450.0,2500,Unknown,AMD,,,
AMD Ryzen 3 3100,CPU,4/24/2020,7.0,65.0,74.0,3800.0,3600,TSMC,AMD,,,
Intel Core i7-4940MX,CPU,1/20/2014,22.0,57.0,177.0,1400.0,3100,Intel,Intel,,,
Intel Core 2 Quad Q6600 (105W),CPU,1/7/2007,65.0,105.0,143.0,582.0,2400,Intel,Intel,,,
AMD Athlon 64 FX-62,CPU,5/23/2006,90.0,125.0,220.0,243.0,2800,Unknown,AMD,,,
AMD Athlon X2 7750 BE,CPU,12/15/2008,65.0,95.0,285.0,450.0,2700,Unknown,AMD,,,
Intel Core i7-3740QM,CPU,9/3/2012,22.0,45.0,160.0,1400.0,2700,Intel,Intel,,,
Intel Core i3-4150T,CPU,5/1/2014,22.0,35.0,177.0,1400.0,2900,Intel,Intel,,,
Intel Atom N570,CPU,3/1/2011,45.0,9.0,87.0,176.0,1667,Intel,Intel,,,
Intel Core 2 Duo T7300,CPU,7/27/2006,65.0,35.0,143.0,293.0,2000,Intel,Intel,,,
Intel Atom E645C,CPU,11/22/2010,45.0,4.0,26.0,47.0,1000,Intel,Intel,,,
Intel Core i7-5820K,CPU,9/1/2014,22.0,140.0,356.0,2600.0,3300,Intel,Intel,,,
Intel Celeron E3400,CPU,1/17/2010,45.0,65.0,82.0,228.0,2600,Intel,Intel,,,
AMD FX-6120,CPU,10/23/2012,32.0,95.0,315.0,1200.0,3600,Unknown,AMD,,,
Intel Pentium G632,CPU,9/4/2011,32.0,65.0,131.0,504.0,2700,Intel,Intel,,,
Intel Pentium 4 HT 531,CPU,6/12/2005,90.0,84.0,109.0,125.0,3000,Intel,Intel,,,
AMD Opteron 248 HE,CPU,3/1/2005,90.0,55.0,188.4404445518241,106.0,2200,Unknown,AMD,,,
AMD Opteron X2 290,CPU,1/1/2006,90.0,95.0,188.4404445518241,233.0,2800,Unknown,AMD,,,
Intel Pentium 4 HT 3.20,CPU,6/23/2003,130.0,82.0,131.0,55.0,3200,Intel,Intel,,,
AMD Athlon II X4 610e,CPU,5/11/2010,45.0,45.0,169.0,300.0,2400,Unknown,AMD,,,
Intel Core i3-3110M,CPU,6/1/2012,22.0,35.0,118.0,1929.9222785421193,2400,Intel,Intel,,,
Intel Core i7-5550U,CPU,3/1/2015,14.0,15.0,188.4404445518241,1929.9222785421193,2000,Intel,Intel,,,
AMD Sempron 2800+,CPU,5/23/2006,90.0,62.0,103.0,81.0,1600,Unknown,AMD,,,
AMD FX-9590,CPU,7/6/2013,32.0,220.0,315.0,1200.0,4700,Unknown,AMD,,,
Intel Pentium 4 2.0,CPU,1/7/2002,130.0,92.0,146.0,125.0,2000,Intel,Intel,,,
AMD EPYC 7443P,CPU,3/15/2021,7.0,200.0,188.4404445518241,1929.9222785421193,2850,TSMC,AMD,,,
Intel Celeron G1620T,CPU,9/1/2013,22.0,35.0,94.0,1929.9222785421193,2400,Intel,Intel,,,
AMD Phenom II X6 1055T (95W),CPU,5/1/2010,45.0,95.0,346.0,904.0,2800,Unknown,AMD,,,
AMD A4-4000,CPU,6/1/2013,32.0,65.0,246.0,1178.0,3000,Unknown,AMD,,,
AMD Phenom X4 9650,CPU,3/27/2008,65.0,95.0,285.0,450.0,2300,Unknown,AMD,,,
AMD Athlon XP 2600+,CPU,9/1/2003,130.0,68.0,188.4404445518241,63.0,2083,Unknown,AMD,,,
Intel Core i5-4350U,CPU,6/4/2013,22.0,15.0,118.0,1400.0,1400,Intel,Intel,,,
AMD Ryzen Threadripper 1900X,CPU,8/31/2017,14.0,125.0,213.0,9600.0,3800,GF,AMD,,,
Intel Celeron B820,CPU,7/1/2012,32.0,35.0,131.0,504.0,1700,Intel,Intel,,,
Intel Xeon W3670,CPU,8/29/2010,32.0,130.0,239.0,1170.0,3200,Intel,Intel,,,
Intel Core i7-7740X,CPU,6/26/2017,14.0,112.0,188.4404445518241,1929.9222785421193,4300,Intel,Intel,,,
Intel Core i7-4610M,CPU,2/1/2014,22.0,37.0,118.0,1300.0,3000,Intel,Intel,,,
AMD Opteron 6282 SE,CPU,11/14/2011,32.0,140.0,316.0,2400.0,2600,Unknown,AMD,,,
Intel Celeron N2805,CPU,9/11/2013,22.0,4.0,188.4404445518241,1929.9222785421193,1463,Intel,Intel,,,
Intel Pentium 4 HT 631,CPU,1/5/2006,65.0,86.0,81.0,188.0,3000,Intel,Intel,,,
Intel Xeon L5609,CPU,3/16/2010,32.0,40.0,239.0,1170.0,1866,Intel,Intel,,,
AMD Phenom II X3 715 BE,CPU,10/1/2010,45.0,95.0,258.0,758.0,2800,Unknown,AMD,,,
