,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
87,Intel Core i5-3570,CPU,6/1/2012,22,77,133,,3400,Intel,Intel,,,
88,AMD Ryzen 7 3750H,CPU,1/6/2019,12,35,210,4940,2300,GF,AMD,,,
89,Intel A110,CPU,6/1/2007,90,3,66,176,800,Intel,Intel,,,
90,AMD Ryzen 5 5500U,CPU,1/12/2021,7,25,156,9800,2100,TSMC,AMD,,,
91,Intel Core i9-10800F,CPU,4/30/2020,14,65,,,2700,Intel,Intel,,,
92,Intel Xeon MP 3.50,CPU,3/29/2005,90,135,,,3500,Intel,Intel,,,
93,Intel Core i3-10110U,CPU,8/21/2019,14,25,,,2100,Intel,Intel,,,
94,Intel Core i3-10305,CPU,3/16/2021,14,65,,,3800,Intel,Intel,,,
95,Intel Core Solo T1350,CPU,1/5/2006,65,27,90,151,1866,Intel,Intel,,,
96,AMD A4-5300B,CPU,10/2/2012,32,65,246,1178,3400,Unknown,AMD,,,
97,Intel Core Duo T2600,CPU,1/5/2006,65,31,90,151,2166,Intel,Intel,,,
98,Intel Pentium G4500,CPU,9/1/2015,14,51,150,1400,3500,Intel,Intel,,,
99,AMD A8-5600K,CPU,10/2/2012,32,100,246,1178,3600,Unknown,AMD,,,
100,AMD Athlon XP 2600+,CPU,10/1/2002,130,68,80,37,2133,Unknown,AMD,,,
101,AMD Athlon 64 3000+,CPU,12/15/2003,130,89,193,69,2000,Unknown,AMD,,,
102,Intel Pentium D 945,CPU,7/23/2006,65,95,140,376,3400,Intel,Intel,,,
103,Intel Celeron B800,CPU,6/19/2011,32,35,131,504,1500,Intel,Intel,,,
104,Intel Atom E665C,CPU,11/22/2010,45,4,26,47,1300,Intel,Intel,,,
105,AMD E1-2150,CPU,2/1/2014,32,9,246,1178,1050,Unknown,AMD,,,
106,Intel Core i5-10210U,CPU,8/21/2019,14,25,,,1600,Intel,Intel,,,
107,AMD Athlon Gold 3150G,CPU,7/21/2020,12,65,,,3500,GF,AMD,,,
108,Intel Celeron 2.70,CPU,9/24/2003,130,73,146,55,2700,Intel,Intel,,,
109,Intel Xeon Gold 5318N,CPU,4/6/2021,10,150,,,2100,Intel,Intel,,,
110,AMD Athlon 64 3500+,CPU,2/20/2007,90,62,230,227,2200,Unknown,AMD,,,
111,AMD Sempron 3400+ EE SFF,CPU,5/23/2006,90,35,103,81,1800,Unknown,AMD,,,
112,Intel Core i7-3525M,CPU,11/1/2012,22,35,160,1480,2900,Intel,Intel,,,
113,AMD A6-3410MX,CPU,6/14/2011,32,45,228,1178,1600,Unknown,AMD,,,
114,Intel Core i5-450M,CPU,9/26/2010,32,35,81,382,2400,Intel,Intel,,,
115,AMD Opteron A1150,CPU,1/14/2016,28,32,,,1700,Unknown,AMD,,,
116,Intel Pentium G3430,CPU,9/1/2013,22,54,177,1400,3300,Intel,Intel,,,
117,Intel Core i7-10610U,CPU,4/2/2020,14,25,,,1800,Intel,Intel,,,
118,Intel Core i5-4210U,CPU,4/14/2014,22,15,118,1400,1700,Intel,Intel,,,
119,Intel Core 2 Duo E6420,CPU,4/1/2007,65,65,111,167,2133,Intel,Intel,,,
120,AMD Athlon XP 1900+,CPU,11/5/2001,180,68,150,37,1600,Unknown,AMD,,,
121,Intel Pentium III 1400,CPU,12/1/2001,130,31,80,44,1400,Intel,Intel,,,
122,AMD Athlon 64 3000+,CPU,4/14/2005,130,62,,105,1800,Unknown,AMD,,,
123,Intel Xeon E3-1290 v2,CPU,5/14/2012,22,87,160,1400,3700,Intel,Intel,,,
124,AMD Phenom X3 8550,CPU,4/23/2008,65,95,285,450,2200,Unknown,AMD,,,
125,Intel Core i5-8600K,CPU,10/5/2017,14,95,,,3600,Intel,Intel,,,
126,Intel Xeon Platinum 8356H,CPU,4/6/2021,14,190,,,3900,Intel,Intel,,,
127,AMD Athlon XP 2200+,CPU,6/10/2002,130,68,80,37,1800,Unknown,AMD,,,
128,AMD Athlon Silver PRO 3125GE,CPU,7/21/2020,12,35,,,3400,GF,AMD,,,
129,Intel Mobile Pentium 4 HT 538,CPU,6/1/2004,90,88,112,125,3200,Intel,Intel,,,
130,Intel Core i7-8700,CPU,1/1/2018,14,65,154,,3200,Intel,Intel,,,
131,Intel Pentium Dual-Core E2220,CPU,3/2/2008,65,65,77,105,2400,Intel,Intel,,,
132,AMD Ryzen 5 4600U,CPU,1/6/2020,7,25,156,9800,2100,TSMC,AMD,,,
133,AMD Ryzen Threadripper 2970WX,CPU,10/2/2018,12,250,213,19200,3000,GF,AMD,,,
134,AMD Opteron X2 875 HE,CPU,2/1/2006,90,55,,233,2200,Unknown,AMD,,,
135,Intel Atom Z605,CPU,5/4/2010,45,2,65,140,1000,Intel,Intel,,,
136,Intel Xeon Platinum 8351N,CPU,4/6/2021,10,225,,,2400,Intel,Intel,,,
137,Intel Atom N475,CPU,6/1/2010,45,7,66,123,1834,Intel,Intel,,,
138,Intel Core i5-3350P,CPU,9/3/2012,22,69,133,,3100,Intel,Intel,,,
139,Intel Xeon E5-1660 v2,CPU,9/1/2013,22,130,160,1400,3700,Intel,Intel,,,
140,AMD Sempron 3300+,CPU,7/15/2005,90,62,,69,2000,Unknown,AMD,,,
141,AMD Ryzen 5 PRO 2600,CPU,9/19/2018,12,65,192,4800,3400,GF,AMD,,,
142,AMD Phenom X4 9450e,CPU,10/1/2008,65,65,285,450,2100,Unknown,AMD,,,
143,AMD A4-3420,CPU,12/20/2011,32,65,228,1178,2800,Unknown,AMD,,,
144,Intel Pentium 4 1.80,CPU,8/27/2001,180,67,217,42,1800,Intel,Intel,,,
145,AMD Opteron 248,CPU,12/1/2004,90,85,,106,2200,Unknown,AMD,,,
146,Intel Pentium 4 506,CPU,6/1/2005,90,84,109,125,2660,Intel,Intel,,,
147,Intel Core i7-3840QM,CPU,9/3/2012,22,45,160,1400,2800,Intel,Intel,,,
148,Intel Pentium 4 2.53,CPU,5/6/2002,130,110,146,55,2527,Intel,Intel,,,
149,Intel Mobile Pentium 4 2.40,CPU,6/11/2003,130,60,131,55,2400,Intel,Intel,,,
150,Intel Xeon Phi 7110P,CPU,11/12/2012,22,300,350,5000,1250,Intel,Intel,,,
151,Intel Core i3-7300,CPU,1/3/2017,14,51,,,4000,Intel,Intel,,,
152,Intel Core i7-3520M,CPU,6/3/2012,22,35,118,,2900,Intel,Intel,,,
153,AMD Turion 64 MT-30,CPU,3/10/2005,90,22,125,114,1600,Unknown,AMD,,,
154,AMD Sempron LE-1300,CPU,10/8/2007,65,45,,,2300,Unknown,AMD,,,
155,Intel Atom Z625,CPU,5/4/2010,45,2,65,140,1900,Intel,Intel,,,
156,Intel Core i5-4200U,CPU,6/4/2013,22,15,118,1400,1600,Intel,Intel,,,
157,Intel Pentium E5700,CPU,8/8/2010,45,65,82,228,3000,Intel,Intel,,,
158,Intel Core i3-3110M,CPU,6/1/2012,22,35,118,,2400,Intel,Intel,,,
159,Intel Pentium G3420T,CPU,9/1/2013,22,35,177,1400,2700,Intel,Intel,,,
160,AMD E1-1500,CPU,1/6/2013,40,18,75,,1480,Unknown,AMD,,,
161,AMD A10-9700E,CPU,7/27/2017,28,35,246,1178,3000,Unknown,AMD,,,
162,Intel Pentium 4-M 2.00,CPU,6/24/2002,130,32,131,55,2000,Intel,Intel,,,
163,Intel Xeon E5620,CPU,3/16/2010,32,80,239,1170,2400,Intel,Intel,,,
164,Intel Core i3-3120M,CPU,9/30/2012,22,35,118,,2500,Intel,Intel,,,
165,AMD Opteron 6274,CPU,11/14/2011,32,115,316,2400,2200,Unknown,AMD,,,
166,AMD Ryzen 7 1800X,CPU,3/2/2017,14,95,192,4800,3600,GF,AMD,,,
167,Intel Core i3-3120ME,CPU,8/1/2012,22,35,118,,2400,Intel,Intel,,,
168,AMD Ryzen 3 3200U,CPU,1/6/2019,12,15,210,4940,2600,GF,AMD,,,
169,Intel Xeon E-2124G,CPU,5/31/2018,14,72,126,1400,3400,Intel,Intel,,,
170,AMD Athlon 700,CPU,6/5/2000,180,40,120,37,700,Unknown,AMD,,,
171,AMD Athlon 64 2700+,CPU,4/27/2004,130,32,144,69,1600,Unknown,AMD,,,
172,AMD Ryzen 7 2700X,CPU,4/19/2018,12,105,192,4800,3700,GF,AMD,,,
173,AMD Ryzen Embedded V1807B,CPU,2/21/2018,14,45,210,4950,3350,GF,AMD,,,
174,AMD Athlon II X3 415e,CPU,5/11/2010,45,45,169,300,2500,Unknown,AMD,,,
175,Intel Core i5-2310,CPU,5/22/2011,32,95,216,1160,2900,Intel,Intel,,,
176,AMD FX-8320,CPU,10/23/2012,32,125,315,1200,3500,Unknown,AMD,,,
177,Intel Core i7-10700K,CPU,4/30/2020,14,125,,,3800,Intel,Intel,,,
178,AMD Opteron 6386 SE,CPU,11/5/2012,32,140,315,2400,2800,Unknown,AMD,,,
179,AMD Opteron X2 875,CPU,9/26/2005,90,95,,233,2200,Unknown,AMD,,,
180,Intel Celeron 877,CPU,7/1/2012,32,17,131,504,1400,Intel,Intel,,,
181,AMD Phenom II X6 1100T BE,CPU,12/7/2010,45,125,346,904,3300,Unknown,AMD,,,
182,Intel Core i3-5157U,CPU,3/1/2015,14,28,,,2500,Intel,Intel,,,
183,Intel Core i3-4130,CPU,9/1/2013,22,54,177,1400,3400,Intel,Intel,,,
184,Intel Core i7-3910K,CPU,7/24/2013,32,130,435,2270,3000,Intel,Intel,,,
185,Intel Core i7-3632QM,CPU,10/19/2012,22,35,160,1480,2200,Intel,Intel,,,
186,Intel Core i7-8670T,CPU,9/1/2018,14,35,,,2300,Intel,Intel,,,
187,AMD Opteron 144,CPU,8/2/2005,90,67,,106,1800,Unknown,AMD,,,
188,Intel Core i7-5650U,CPU,3/1/2015,14,15,,,2200,Intel,Intel,,,
189,Intel Pentium 4 HT 515,CPU,1/1/2001,90,84,109,125,2933,Intel,Intel,,,
190,AMD Opteron 242,CPU,5/18/2004,130,82,193,106,1600,Unknown,AMD,,,
191,Intel Core i5-7600,CPU,1/3/2017,14,65,,,3500,Intel,Intel,,,
192,Intel Xeon 2.8,CPU,10/10/2005,90,135,213,200,2800,Intel,Intel,,,
193,Intel Core 2 Duo E7600,CPU,5/10/2009,45,65,82,228,3067,Intel,Intel,,,
194,Intel Core i7-9700K,CPU,10/19/2018,14,95,,,3600,Intel,Intel,,,
195,AMD Phenom II X4 910,CPU,2/9/2009,45,95,258,758,2600,Unknown,AMD,,,
196,AMD EPYC 73F3,CPU,3/15/2021,7,240,,,3500,TSMC,AMD,,,
197,AMD Sempron 2500+,CPU,7/28/2004,130,62,80,37,1750,Unknown,AMD,,,
198,Intel Pentium G3450,CPU,5/1/2014,22,54,177,1400,3300,Intel,Intel,,,
199,AMD EPYC 7601,CPU,6/29/2017,14,180,213,4800,2200,GF,AMD,,,
200,Intel Xeon E7-8860 v3,CPU,6/1/2015,22,140,160,1400,2200,Intel,Intel,,,
201,Intel Xeon 5140,CPU,6/26/2006,65,65,,,2333,Intel,Intel,,,
202,AMD Phenom X4 9850 BE,CPU,3/27/2008,65,125,285,450,2500,Unknown,AMD,,,
203,AMD Ryzen 3 3100,CPU,4/24/2020,7,65,74,3800,3600,TSMC,AMD,,,
204,Intel Core i7-4940MX,CPU,1/20/2014,22,57,177,1400,3100,Intel,Intel,,,
205,Intel Core 2 Quad Q6600 (105W),CPU,1/7/2007,65,105,143,582,2400,Intel,Intel,,,
206,AMD Athlon 64 FX-62,CPU,5/23/2006,90,125,220,243,2800,Unknown,AMD,,,
207,AMD Athlon X2 7750 BE,CPU,12/15/2008,65,95,285,450,2700,Unknown,AMD,,,
208,Intel Core i7-3740QM,CPU,9/3/2012,22,45,160,1400,2700,Intel,Intel,,,
209,Intel Core i3-4150T,CPU,5/1/2014,22,35,177,1400,2900,Intel,Intel,,,
210,Intel Atom N570,CPU,3/1/2011,45,9,87,176,1667,Intel,Intel,,,
211,Intel Core 2 Duo T7300,CPU,7/27/2006,65,35,143,293,2000,Intel,Intel,,,
212,Intel Atom E645C,CPU,11/22/2010,45,4,26,47,1000,Intel,Intel,,,
213,Intel Core i7-5820K,CPU,9/1/2014,22,140,356,2600,3300,Intel,Intel,,,
214,Intel Celeron E3400,CPU,1/17/2010,45,65,82,228,2600,Intel,Intel,,,
215,AMD FX-6120,CPU,10/23/2012,32,95,315,1200,3600,Unknown,AMD,,,
216,Intel Pentium G632,CPU,9/4/2011,32,65,131,504,2700,Intel,Intel,,,
217,Intel Pentium 4 HT 531,CPU,6/12/2005,90,84,109,125,3000,Intel,Intel,,,
218,AMD Opteron 248 HE,CPU,3/1/2005,90,55,,106,2200,Unknown,AMD,,,
219,AMD Opteron X2 290,CPU,1/1/2006,90,95,,233,2800,Unknown,AMD,,,
220,Intel Pentium 4 HT 3.20,CPU,6/23/2003,130,82,131,55,3200,Intel,Intel,,,
221,AMD Athlon II X4 610e,CPU,5/11/2010,45,45,169,300,2400,Unknown,AMD,,,
222,Intel Core i3-3110M,CPU,6/1/2012,22,35,118,,2400,Intel,Intel,,,
223,Intel Core i7-5550U,CPU,3/1/2015,14,15,,,2000,Intel,Intel,,,
224,AMD Sempron 2800+,CPU,5/23/2006,90,62,103,81,1600,Unknown,AMD,,,
225,AMD FX-9590,CPU,7/6/2013,32,220,315,1200,4700,Unknown,AMD,,,
226,Intel Pentium 4 2.0,CPU,1/7/2002,130,92,146,125,2000,Intel,Intel,,,
227,AMD EPYC 7443P,CPU,3/15/2021,7,200,,,2850,TSMC,AMD,,,
228,Intel Celeron G1620T,CPU,9/1/2013,22,35,94,,2400,Intel,Intel,,,
229,AMD Phenom II X6 1055T (95W),CPU,5/1/2010,45,95,346,904,2800,Unknown,AMD,,,
230,AMD A4-4000,CPU,6/1/2013,32,65,246,1178,3000,Unknown,AMD,,,
231,AMD Phenom X4 9650,CPU,3/27/2008,65,95,285,450,2300,Unknown,AMD,,,
232,AMD Athlon XP 2600+,CPU,9/1/2003,130,68,,63,2083,Unknown,AMD,,,
233,Intel Core i5-4350U,CPU,6/4/2013,22,15,118,1400,1400,Intel,Intel,,,
234,AMD Ryzen Threadripper 1900X,CPU,8/31/2017,14,125,213,9600,3800,GF,AMD,,,
235,Intel Celeron B820,CPU,7/1/2012,32,35,131,504,1700,Intel,Intel,,,
236,Intel Xeon W3670,CPU,8/29/2010,32,130,239,1170,3200,Intel,Intel,,,
237,Intel Core i7-7740X,CPU,6/26/2017,14,112,,,4300,Intel,Intel,,,
238,Intel Core i7-4610M,CPU,2/1/2014,22,37,118,1300,3000,Intel,Intel,,,
239,AMD Opteron 6282 SE,CPU,11/14/2011,32,140,316,2400,2600,Unknown,AMD,,,
240,Intel Celeron N2805,CPU,9/11/2013,22,4,,,1463,Intel,Intel,,,
241,Intel Pentium 4 HT 631,CPU,1/5/2006,65,86,81,188,3000,Intel,Intel,,,
242,Intel Xeon L5609,CPU,3/16/2010,32,40,239,1170,1866,Intel,Intel,,,
243,AMD Phenom II X3 715 BE,CPU,10/1/2010,45,95,258,758,2800,Unknown,AMD,,,
244,Intel Core i5-8420T,CPU,9/1/2018,14,35,,,1800,Intel,Intel,,,
245,AMD Opteron 152,CPU,8/2/2005,90,104,,106,2600,Unknown,AMD,,,
246,AMD Sempron 3400+,CPU,1/23/2006,90,62,,69,2000,Unknown,AMD,,,
247,Intel Xeon E5603,CPU,2/14/2011,32,80,239,1170,1600,Intel,Intel,,,
248,Intel Pentium G2100T,CPU,9/3/2012,22,35,94,,2600,Intel,Intel,,,
249,AMD Sempron 2600+,CPU,7/28/2004,90,62,,63,1600,Unknown,AMD,,,
250,Intel Pentium 4 HT 660,CPU,2/20/2005,90,84,109,169,3600,Intel,Intel,,,
251,AMD Athlon Gold PRO 3150GE,CPU,7/21/2020,12,35,,,3500,GF,AMD,,,
252,Intel Core i7-10750H,CPU,4/2/2020,14,45,,,2600,Intel,Intel,,,
253,Intel Celeron 887,CPU,9/1/2012,32,17,131,504,1500,Intel,Intel,,,
254,AMD A8-3550MX,CPU,12/20/2011,32,45,228,1178,2000,Unknown,AMD,,,
255,Intel Xeon E-2124,CPU,5/31/2018,14,72,126,1400,3400,Intel,Intel,,,
256,AMD Phenom II X4 830,CPU,9/1/2009,45,95,258,758,2800,Unknown,AMD,,,
257,AMD Athlon II X2 250,CPU,6/2/2009,45,65,117,410,3000,Unknown,AMD,,,
258,AMD FX-6200,CPU,2/27/2012,32,125,315,1200,3800,Unknown,AMD,,,
259,AMD Opteron 848,CPU,5/18/2004,130,89,193,106,2200,Unknown,AMD,,,
260,AMD Phenom X4 9350e,CPU,7/1/2008,65,65,285,450,2000,Unknown,AMD,,,
261,Intel Pentium B980,CPU,9/1/2012,32,35,131,504,2400,Intel,Intel,,,
262,AMD Athlon II X4 635,CPU,1/25/2010,45,95,169,300,2900,Unknown,AMD,,,
263,Intel Celeron B810,CPU,3/1/2011,32,35,131,504,1600,Intel,Intel,,,
264,Intel A100,CPU,6/1/2007,90,3,66,176,600,Intel,Intel,,,
265,AMD Opteron X1150,CPU,5/29/2013,28,17,,,2000,Unknown,AMD,,,
266,Intel Core i9-9820X,CPU,10/19/2018,14,165,,,3300,Intel,Intel,,,
267,AMD A12-9800E,CPU,7/27/2017,28,35,246,1178,3100,Unknown,AMD,,,
268,Intel Xeon Phi SE10P,CPU,11/12/2012,22,300,350,5000,1100,Intel,Intel,,,
269,Intel Core 2 Duo E6750,CPU,7/1/2007,65,65,143,291,2667,Intel,Intel,,,
270,Intel Core i7-990X,CPU,2/24/2011,32,130,239,1170,3466,Intel,Intel,,,
271,Intel Core i5-9400,CPU,10/19/2018,14,65,,,2900,Intel,Intel,,,
272,Intel Core 2 Duo E4300,CPU,7/27/2006,65,65,111,167,1800,Intel,Intel,,,
273,AMD A4-1250,CPU,5/23/2013,32,8,246,1178,1000,Unknown,AMD,,,
274,Intel Pentium 4 HT 2.80,CPU,5/21/2003,130,70,131,55,2800,Intel,Intel,,,
275,AMD Ryzen 7 1700X,CPU,3/2/2017,14,95,192,4800,3400,GF,AMD,,,
276,AMD A6-3650,CPU,6/30/2011,32,100,228,1178,2600,Unknown,AMD,,,
277,AMD Ryzen Embedded V1605B,CPU,2/21/2018,14,15,210,4950,2000,GF,AMD,,,
278,Intel Pentium 4 HT 620,CPU,2/20/2005,90,84,135,169,2800,Intel,Intel,,,
279,Intel Core 2 Duo T5600,CPU,7/27/2006,65,35,143,,1833,Intel,Intel,,,
280,AMD Athlon 64 LE-1640,CPU,1/7/2009,90,45,3,154,2600,Unknown,AMD,,,
281,AMD Sempron 2800+,CPU,7/28/2004,90,25,,63,1600,Unknown,AMD,,,
282,AMD A10-5800B,CPU,10/2/2012,32,100,246,1178,3800,Unknown,AMD,,,
283,Intel Core Solo T1200,CPU,1/5/2006,65,27,90,151,1500,Intel,Intel,,,
284,Intel Xeon Phi 7285,CPU,12/1/2017,14,250,,8000,1300,Intel,Intel,,,
285,AMD Athlon 64 3800+,CPU,6/1/2004,130,89,144,69,2400,Unknown,AMD,,,
286,Intel Xeon Phi 31S1P,CPU,6/17/2013,22,270,350,5000,1100,Intel,Intel,,,
